Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
cbc_platelet_count	sparco_base_data		text	Platelet count		1000 cells/uL											
cbc_hemoglobin	sparco_base_data		text	Hemoglobin		g/dL											
cbc_mean_cell_volume	sparco_base_data		text	Mean cell volume		fL											
cbc_mean_cell_hemoglobin	sparco_base_data		text	Mean cell hemoglobin		pg											
cbc_mchc	sparco_base_data		text	Mean Cell Hb Concentration (MCHC))		g/dL											
cbc_redcelldistributionwidth	sparco_base_data		text	Red cell distribution width (RDW)		%											
serum_creatinine_conc	sparco_base_data	Kidney Function Assay (Phenx protocols PX141401, PX141501 and PX141601 unless otherwise stated)	text	Serum Creatinine Concentration		mg/dL; PX141401	number	0									
urinary_microalbumin_conc	sparco_base_data		text	Urinary microalbumin concentration		PX141501	number	0									
urinary_creatinine_conc	sparco_base_data		text	Urinary Creatinine Concentration		PX141601	number	0									
results_of_alanine_at_assay	sparco_base_data	Liver Function Assay (PhenX protocol PX190801 unless otherwise stated)	text	Results of alanine aminotransferase assay		IU/L											
results_of_aspartate_at_assay	sparco_base_data		text	Results of aspartate aminotransferase assay		IU/L											
results_of_alkaline_phosphatase_assay	sparco_base_data		text	Results of alkaline phosphatase assay		IU/L											
results_of_bilirubin_assay	sparco_base_data	Laboratory Results: Bilirubin Level (PhenX protocol PX0810901 unless stated otherwise)	text	Results of bilirubin assay		mg/dL											
billirubin_total_billirubin_conc	sparco_base_data		text	Total billirubin concentration		mg/mL	number										
lactate_dehydrogenase_conc	sparco_base_data	Laboratory Results: Lactate Dehydrogenase Level (PhenX protocol PX0811001 unless stated otherwise)	text	Lactate dehydrogenase level		IU/L	number										
reticulocyte_amount	sparco_base_data	Laboratory Results: Reticulocyte Count (PhenX protocol PX0810601 unless stated otherwise)	text	Number of reticulocytes		thousands/?L	number										
scd_hemoglobin_assay_results	sparco_base_data	Laboratory Results: Hemoglobin Characterisation (PhenX protocol PX0830301 unless stated otherwise)	checkbox	Were the assay results recorded for the following hemoglobins?	1, Hb A | 2, Hb  F | 3, Hb  S | 4, Hb  C | 5, Hb  E/A2 | 6, Hb  D-Punjab | 7, Hb  G-Philadelphia | 8, Hb  O-Arab								LH				
hba2	sparco_base_data		text	Record the levels of HbA if measured.													
hbs	sparco_base_data		text	Record the levels of HbS if measured.													
hbc	sparco_base_data		text	Record the levels of HbC if measured.													
hbe_a2	sparco_base_data		text	Record the levels of Hb E/A2 if measured.													
hb_dpunjab	sparco_base_data		text	Record the levels of Hb D-Punjab if measured.													
hb_gphilidelphia	sparco_base_data		text	Record the levels of Hb G-Philadelphia if measured.													
hb_o_arab	sparco_base_data		text	Record the levels of Hb O-Arab if measured.													
hbf_percent	sparco_base_data	Laboratory Results: Fetal hemoglobin/HbF	text	What is the level of fetal hemoglobin													
body_temperature	sparco_base_data	Pulse oximetry - rest (PhenX protocol PX091101 unless stated otherwise)	text	Patient's Body Temperature (in degrees Celsius)		degrees Celsius											
respiratory_rate	sparco_base_data	Arterial blood gas - ABG (PhenX protocol PX090201 unless stated otherwise)	text	Patient's Respiratory Rate			number										
partial_pressure_co2	sparco_base_data		text	Partial Pressure of Carbon Dioxide (PaCO2)													
partial_pressure_of_oxygen	sparco_base_data		text	Partial Pressure of Oxygen (PaO2)													
total_hemoglobin	sparco_base_data		text	Total Hemoglobin (Hbtotal)													
oxyhemoglobin_saturation	sparco_base_data		text	Oxyhemoglobin Saturation (HbO2)													
carboxyhemoglobin	sparco_base_data		text	Carboxyhemoglobin (COHb)													
methemoglobin	sparco_base_data		text	Methemoglobin (MetHb)													
data_source_country	extended_demographics	Patient Details	dropdown	Country where the data was collected ?	1, Albania | 2, Angola | 3, Benin | 4, Botswana | 5, Burkina Faso | 6, Burundi | 7, Cameroon | 8, Cape Verde | 9, Central African Republic | 10, Chad | 11, Comoros | 12, Congo | 13, Democratic Rep of Congo | 14, Cote d'Ivoire | 15, Djibouti | 16, Egypt | 17, Equatorial Guinea | 18, Eritrea | 19, Ethiopia | 20, Gabon | 21, Gambia | 22, Ghana | 23, Guinea | 24, Guinea-Bissau | 25, Kenya | 26, Lesotho | 27, Liberia | 28, Libyan Arab Jamahiriya | 29, Madagascar | 30, Malawi | 31, Mali | 32, Mauritania | 33, Mauritius | 34, Mayotte | 35, Morocco | 36, Mozambique | 37, Namibia | 38, Niger | 39, Nigeria | 40, Reunion | 41, Rwanda | 42, Saint Helena | 43, Sao Tome and Principe | 44, Senegal | 45, Seychelles | 46, Sierra Leone | 47, Somalia | 48, South Africa | 49, South Sudan | 50, Sudan | 51, Swaziland | 52, Tanzania | 53, Togo | 54, Tunisia | 55, Uganda | 56, Western Sahara | 57, Zambia | 58, Zimbabwe | 99, Other | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown		autocomplete										
non_african_country	extended_demographics		text	If not an African Country, please specify							[data_source_country] = '59'						
study_type	extended_demographics		dropdown	Type of study the patient is enrolled in	1, Meta-Analysis | 2, Systematic Review | 3, Randomized Controlled Trial | 4, Cohort Study | 5, Case-control Study | 6, Cross-sectional study | 7, Case Reports and Series | 8, Animal Research Studies | 9, Test-tube Lab Researc | 10, Treatment Research | 11, Prevention Research | 12, Diagnostic Research | 13, Screening Research | 14, Quality of Life Research | 15, Genetic studies | 16, Epidemiological studies | 17, Phase I Clinical trials | 18, Phase II Clinical trials | 19, Phase III Clinical trials | 20, Phase IV Clinical trials | 21, Ideas, Editorials, Opinions | 99, Other | -992, Not asked / Not collected												
registration_date	extended_demographics		text	Date on which the registration was done. (MM/DD/YYYY)			date_dmy										
interview_age	extended_demographics		calc	Age in months at the time of the interview/test/sampling/imaging.	datediff([date_of_birth],[registration_date],"M","dmy")												
current_educational_attainment	extended_demographics	Socio-Demographics	dropdown	What is the highest grade or level of school you have completed or the highest degree you have received?	0, None | 1, Nursery | 2, Primary | 3, Secondary | 4, University | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX011001 | phenx_current_educational_attainment											
income_currency	extended_demographics		dropdown	Please select the income currency for your country.	AED, UAE dirham | AFN, Afghan afghani | ALL, Albanian lek | AMD, Armenian dram | ANG, Netherlands Antillean guilder | AOA, Angolan kwanza | ARS, Argentine peso | AUD, Australian dollar | AWG, Aruban florin | AZN, Azerbaijan manat | BAM, Bosnia and Herzegovina convertible mark | BBD, Barbadian dollar | BDT, Bangladeshi taka | BGN, Bulgarian lev | BHD, Bahraini dinar | BIF, Burundi franc | BMD, Bermudian dollar | BND, Brunei dollar | BOB, Bolivian boliviano | BRL, Brazilian real | BSD, Bahamian dollar | BTN, Bhutanese ngultrum | BWP, Botswana pula | BYN, Belarusian ruble | BZD, Belize dollar | CAD, Canadian dollar | CDF, Congolese franc | CHF, Swiss franc | CLP, Chilean peso | CNY, Chinese Yuan Renminbi | COP, Colombian peso | CRC, Costa Rican colon | CUP, Cuban peso | CVE, Cape Verdean escudo | CZK, Czech koruna | DJF, Djiboutian franc | DKK, Danish krone | DOP, Dominican peso | DZD, Algerian dinar | EGP, Egyptian pound | ERN, Eritrean nakfa | ETB, Ethiopian birr | FJD, Fijian dollar | FKP, Falkland Islands pound | GBP, Pound sterling | GEL, Georgian lari | GGP, Guernsey Pound | GHS, Ghanaian cedi | GIP, Gibraltar pound | GMD, Gambian dalasi | GNF, Guinean franc | GTQ, Guatemalan quetzal | GYD, Guyanese dollar | HKD, Hong Kong dollar | HNL, Honduran lempira | HRK, Croatian kuna | HTG, Haitian gourde | HUF, Hungarian forint | IDR, Indonesian rupiah | ILS, Israeli new shekel | IMP, Manx pound | INR, Indian rupee | IQD, Iraqi dinar | IRR, Iranian rial | ISK, Icelandic krona | JEP, Jersey pound | JMD, Jamaican dollar | JOD, Jordanian dinar | JPY, Japanese yen | KES, Kenyan shilling | KGS, Kyrgyzstani som | KHR, Cambodian riel | KMF, Comorian franc | KPW, North Korean won | KRW, South Korean won | KWD, Kuwaiti dinar | KYD, Cayman Islands dollar | KZT, Kazakhstani tenge | LAK, Lao kip | LBP, Lebanese pound | LKR, Sri Lankan rupee | LRD, Liberian dollar | LSL, Lesotho loti | LYD, Libyan dinar | MAD, Moroccan dirham | MDL, Moldovan leu | MGA, Malagasy ariary | MKD, Macedonian denar | MMK, Myanmar kyat | MNT, Mongolian tugrik | MOP, Macanese pataca | MRO, Mauritanian ouguiya | MUR, Mauritian rupee | MVR, Maldivian rufiyaa | MWK, Malawian kwacha | MXN, Mexican peso | MYR, Malaysian ringgit | MZN, Mozambican metical | NAD, Namibian dollar | NGN, Nigerian naira | NIO, Nicaraguan cordoba | NOK, Norwegian krone | none, Faroese krona | NPR, Nepalese rupee | NZD, New Zealand dollar | OMR, Omani rial | PEN, Peruvian sol | PGK, Papua New Guinean kina | PHP, Philippine peso | PKR, Pakistani rupee | PLN, Polish zloty | PYG, Paraguayan guarani | QAR, Qatari riyal | RON, Romanian leu | RSD, Serbian dinar | RUB, Russian ruble | RWF, Rwandan franc | SAR, Saudi Arabian riyal | SBD, Solomon Islands dollar | SCR, Seychellois rupee | SDG, Sudanese pound | SEK, Swedish krona | SGD, Singapore dollar | SHP, Saint Helena pound | SLL, Sierra Leonean leone | SOS, Somali shilling | SRD, Surinamese dollar | SSP, South Sudanese pound | STD, Sao Tome and Principe dobra | SYP, Syrian pound | SZL, Swazi lilangeni | THB, Thai baht | TJS, Tajikistani somoni | TMT, Turkmen manat | TND, Tunisian dinar | TOP, Tongan pa'anga | TRY, Turkish lira | TTD, Trinidad and Tobago dollar | TWD, New Taiwan dollar | TZS, Tanzanian shilling | UAH, Ukrainian hryvnia | UGX, Ugandan shilling | USD, United States dollar | UYU, Uruguayan peso | UZS, Uzbekistani som | VEF, Venezuelan bolivar | VND, Vietnamese dong | VUV, Vanuatu vatu | WST, Samoan tala | XAF, Central African CFA franc | XCD, East Caribbean dollar | XDR, SDR (Special Drawing Right) | XOF, West African CFA franc | XPF, CFP franc | YER, Yemeni rial | ZAR, South African rand | ZMW, Zambian kwacha | Other, Other												
poverty_scale_2018	extended_demographics		descriptive	Poverty Scale Based on a <a target="_blank" href="http://iresearch.worldbank.org/PovcalNet/povDuplicateWB.aspx">$1.9 per day poverty line</a> and 366 days, an annual income for the poverty line is calculated to be $695.4.													
an_fam_income_poverty_threshold	extended_demographics		radio	Was your total annual family income from all sources less than the poverty threshold or more?	1, Less | 2, More | -996, Refused | -997, Truly unknown	PX011101 | phenx_annual_family_income					[an_fam_income_35k] = '1'						
an_fam_income_coded	extended_demographics		text	What was your best estimate of the total income of all family members from all sources, before taxes, in the last year?		PX011101 | phenx_annual_family_income											
current_employment_status	extended_demographics		dropdown	What is your current employment status?	1, Working Now | 2, Only Temporarily Laid Off, Sick Leave Or Maternity Leave | 3, Looking For Work, Unemployed | 4, Retired | 5, Disabled, Permanently Or Temporarily | 6, Keeping House | 7, Student | 99, Other | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX011301 | phenx_current_employment_status											
other_current_employment	extended_demographics		text	If other current employment status		PX011301 | phenx_current_employment_status					[current_employment_status] = '8'						
scd_martialstatus_primarycaregiver	extended_demographics		radio	Marital status of primary caregiver	1, Married | 2, Widowed | 3, Separated | 4, Divorced | 5, Never married | 6, Living with partner | 7, Refused to answer | 99, Other | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX0840101											
other_marital_status_primary_caregiver	extended_demographics		text	If other marital status, please specify.							[current_employment_status] = '8'						
scd_martialstatus_primarycaregiver_relationshipto_patient	extended_demographics		radio	Relationship of primary caregiver to patient	1, Mother | 2, Father | 3, Niece or nephew | 4, Aunt or uncle | 5, First cousin | 6, Second cousin | 7, Unknown cousin | 8, Grandparent | 9, Great grandparent | 10, Great great grandparent | 11, Great aunt or uncle | 12, Great great aunt or great great uncle | 13, Foster parent | 99, Other; explain below | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown	PX0840101											
scd_martialstatus_primarycaregiver_relationshipto_patientother	extended_demographics		text	Relationship of primary caregiver to patient if "Other" was selected.		PX0840101					[scd_martialstatus_primarycaregiver_relationshipto_patient] = '14'						
standing_ht_units	anthropometrics		dropdown	Standing Height Units	cm, Centimeters | in, Inches	PX020703 | phenx_standing_height							RH				
standing_ht	anthropometrics		text	Standing Height Measurement		PX020703 | phenx_standing_height	number	0									
measured_wt_units	anthropometrics		dropdown	Current Weight units	kg, Kilograms | lbs, Pounds	PX021501 | phenx_measured_weight							RH				
measured_wt	anthropometrics		text	Current Measured Weight		PX021501 | phenx_measured_weight	number	0									
bmi	anthropometrics		text	Body Mass Index													
cast_or_medical_prosthesis	anthropometrics		yesno	Cast or Medical Prosthesis		PX021501 | phenx_measured_weight							RH				
cast_or_medical_prosthesis_location	anthropometrics		text	Cast or Medical Prosthesis Location		PX021501 | phenx_measured_weight					[cast_or_medical_prosthesis] = '1'						
muac_arm_used	anthropometrics	Mid-Upper Arm Circumference (MUAC) (PX021100)	radio	Arm used for MUAC	1, Left | 2, Right								RH				
muac_arm_length	anthropometrics		text	MUAC Arm length (cm)									RH				
muac_arm_midpoint	anthropometrics		text	Midpoint of MUAC arm (cm)									RH				
mua_circumference	anthropometrics		text	Mid-Upper Arm Circumference (cm)									RH				
birth_weight_report	anthropometrics	Birth Weight (PX020200)	dropdown	Birth weight report	1, At birth | 2, From records | 3, Reported by proxy | -997, Truly unknown (no means of ascertaining)	PX020200					[age_on_day_of_visit] <= 60						
at_birth_birth_weight	anthropometrics		text	Weight recorded at birth (grams)							[birth_weight_report] = '1'						
abstracted_birth_weight	anthropometrics		text	Birth weight from records (grams)							[birth_weight_report] = '2'						
proxy_given_birth_weight	anthropometrics		text	Birth weight reported by proxy (grams)							[birth_weight_report] = '3'						
weight_providing_proxy_name	anthropometrics		text	Name of proxy providing the birth weight							[birth_weight_report] = '3'						
birth_weight_with_blanket	anthropometrics		yesno	Was weight measured with blanket?							[birth_weight_report] = '1'						
birth_blanket_weight	anthropometrics		text	If birth weight was done with a blanket, what was the weight of the blanket? (grams)							[birth_weight_with_blanket] = '1'						
child_head_circ	anthropometrics		text	Child Head Circumference (cm)		PX020500											
fever	medical_history_scd_complications	SCD Complications	yesno	Fever									RH				
fever_add	medical_history_scd_complications		checkbox	If there is fever, please provide additional information.	0, None |1, URI | 2, Diarrhoea | 3, Cough | 4, Vomiting | 99, Other						[fever] = '1'						@NONEOFTHEABOVE='0'
other_fever_comments	medical_history_scd_complications		text	If none of the above options are appropriate, please add any other comments regarding fever.							[fever_add(99)] = '1'						
scd_pain	medical_history_scd_complications		yesno	SCD pain									RH				
scd_pain_add	medical_history_scd_complications		checkbox	If there is SCD-related pain, please provide additional information.	1, Abdomen | 2, Chest | 3, Back | 4, Extremities | 99, Other						[scd_pain] = '1'						
other_scdpain_comments	medical_history_scd_complications		text	If none of the above options are appropriate, please add any other comments regarding SCD-related pain.							[scd_pain_add(99)] = '1'						
dactylitis	medical_history_scd_complications		yesno	Dactylitis									RH				
dactylitis_add	medical_history_scd_complications		radio	If dactylitis is present, please provide additional information.	1, Hand | 2, Foot | 3, Both						[dactylitis] = '1'		RH				
enuresis	medical_history_scd_complications		yesno	Enuresis									RH				
enuresis_add	medical_history_scd_complications		radio	If there is enuresis, please provide additional information.	1, Nightly | 2, Frequent | 3, Rare						[enuresis] = '1'		RH				
priapism	medical_history_scd_complications		yesno	Priapism									RH				
priapism_add	medical_history_scd_complications		text	If priapism is present, please provide additional information.							[priapism] = '1'		RH				
acute_chest_syndrome	medical_history_scd_complications		yesno	Acute chest syndrome									RH				
acute_chest_syndrome_add	medical_history_scd_complications		text	In the event of Acute chest syndrome, please provide additional information.							[acute_chest_syndrome] = '1'		RH				
splenic_sequestration	medical_history_scd_complications		yesno	Splenic sequestration									RH				
splenic_sequestration_add	medical_history_scd_complications		text	In the event of splenic sequestration, please provide additional information.							[splenic_sequestration] = '1'		RH				
red_cell_aplasia	medical_history_scd_complications		yesno	Red cell aplasia									RH				
red_cell_aplasia_add	medical_history_scd_complications		text	If red cell aplasia is present, please provide additional information.							[red_cell_aplasia] = '1'		RH				
jaundice	medical_history_scd_complications		yesno	Jaundice									RH				
jaundice_add	medical_history_scd_complications		text	If jaundice is present, please provide additional information.							[jaundice] = '1'		RH				
stroke_symptoms	medical_history_scd_complications		yesno	Stroke symptoms									RH				
stroke_symptoms_add	medical_history_scd_complications		text	Stroke symptoms (For a more complete description of symptoms, the Stroke History form can be completed as well: [form-link:medical_history_stroke:Stroke History])							[stroke_symptoms] = '1'		RH				
severe_headache	medical_history_scd_complications		yesno	Severe headache									RH				
severe_headache_add	medical_history_scd_complications		text	If there is severe headache, please provide additional information.							[severe_headache] = '1'		RH				
snoring	medical_history_scd_complications		yesno	Snoring									RH				
snoring_add	medical_history_scd_complications		text	If there is snoring present, please provide additional information.							[snoring] = '1'		RH				
episodic_transfusion	medical_history_scd_complications		yesno	Episodic transfusion									RH				
episodic_transfusion_add	medical_history_scd_complications		text	If there is episodic transfusion, please provide additional information.							[episodic_transfusion] = '1'		RH				
chronic_transfusion	medical_history_scd_complications		yesno	Chronic transfusion									RH				
chronic_transfusion_add	medical_history_scd_complications		text	In the event of chronic transfusion, please provide additional information.							[chronic_transfusion] = '1'		RH				
special_studies	medical_history_scd_complications		yesno	Special studies									RH				
special_studies_add	medical_history_scd_complications		text	If any special studies were undertaken, please provide additional information.							[special_studies] = '1'		RH				
scdpainsixmonths	medical_history_6month_pain_episodes	Frequency of sickle cell pain episodes per 6 months (PhenX protocol PX0830101 unless stated otherwise)	text	In the past six months, how many times did you visit an emergency room because of a sickle cell painful event?			number						RH				
scdpainsixmonths_event_date	medical_history_6month_pain_episodes		text	What was the date of the event?			date_dmy										
scdpainsixmonths_event_hospital	medical_history_6month_pain_episodes		text	Which hospital did you go for event?													
scdpainsixmonths_severity	medical_history_6month_pain_episodes		yesno	In the last 6 months, have you had a painful episode severe enough to keep you from doing the usual daily activities, but without being seen by a doctor?									RH				
scdpainsixmonths_number	medical_history_6month_pain_episodes		radio	How many episodes?	1, Less than 4 | 2, At least 4												
scdpainsixmonths_days	medical_history_6month_pain_episodes		radio	How many days were missed?	1, Less than 1 week | 2, At least 1 week												
scdpaintwelvemonths	medical_history_12month_pain_episodes	Frequency of sickle cell pain episodes per 12 months (PhenX protocol PX0830101 unless stated otherwise)	text	In the last 12 months, how many times did you visit an emergency room because of a sickle cell painful event?			number										
scdpaintwelvemonths_event_date	medical_history_12month_pain_episodes		text	What was the date of the event?			date_dmy										
scdpaintwelvemonths_event_hospital	medical_history_12month_pain_episodes		text	Which hospital did you go for the event?													
physician_diagnosed_stroke	medical_history_stroke	History of stroke, ischemic infarction and hemorrhage (PX130301 unless otherwise stated)	radio	Have you ever been told by a physician that you had a stroke?	1, Yes | 0, No												
date_stroke_occurred	medical_history_stroke		text	What date did the first stroke occur?			date_dmy				[physician_diagnosed_stroke] = '0'						
sudden_loss_of_speech	medical_history_stroke		radio	Have you ever had any sudden loss or changes in speech lasting 24 hours or longer?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[physician_diagnosed_stroke] = '1'						
episode_occur_suddenly	medical_history_stroke		radio	Did the episode come on suddenly?	1, Yes | 0, No						[sudden_loss_of_speech] = '0' and [physician_diagnosed_stroke] = '1'						
slurred_speech	medical_history_stroke	Do any of the following describe your change in speech?	radio	Slurred speech like you were drunk?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown										stroke_speech		
wrong_words	medical_history_stroke		radio	Could talk but the wrong words came out?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown										stroke_speech		
wrong_words2	medical_history_stroke		radio	Knew what you wanted to say, but the words would not come out?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown										stroke_speech		
wrong_words3	medical_history_stroke		radio	Could not think of the right words?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown										stroke_speech		
px130301_q6	medical_history_stroke		descriptive	6. While you were having your episode of change in speech, did any of the following occur? [INCLUDE ALL THAT APPLY]							[sudden_loss_of_speech] = '0'						
numbness_or_tingling	medical_history_stroke		radio	6a. Numbness or tingling?	1, Yes | 0, No						[sudden_loss_of_speech] = '0'						
side_with_numbness_tingling	medical_history_stroke		radio	6b. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[sudden_loss_of_speech] = '0' and [numbness_or_tingling] = '0'						
paralysis_or_weakness	medical_history_stroke		radio	6c. Paralysis or weakness?	1, Yes | 0, No						[numbness_or_tingling] = '1'						
side_with_paralysis_weakness	medical_history_stroke		radio	6d. Did you have difficulty on	0, The right side only | 1, The left side only | 2, Both sides						[sudden_loss_of_speech] = '0' and [paralysis_or_weakness] = '0'						
lightheadedness_dizziness_loss_of_balance	medical_history_stroke		radio	6e. Lightheadedness, dizziness, or loss of balance?	1, Yes | 0, No						[paralysis_or_weakness] = '1'						
blackouts_or_fainting	medical_history_stroke		radio	6f. Blackouts or fainting?	1, Yes | 0, No						[sudden_loss_of_speech] = '0'						
seizures_or_convulsions	medical_history_stroke		radio	6g. Seizures or convulsions?	1, Yes | 0, No						[sudden_loss_of_speech] = '0'						
headache	medical_history_stroke		radio	6h. Headache?	1, Yes | 0, No						[sudden_loss_of_speech] = '0'						
visual_disturbances	medical_history_stroke		radio	6i. Visual disturbances?	1, Yes | 0, No						[sudden_loss_of_speech] = '0'						
vision_disturbances_description	medical_history_stroke		radio	6j. Did you have	0, Double vision | 1, Vision loss in right eye only | 2, Vision loss in left eye only | 3, Total loss of vision in both eyes | 4, Trouble in both eyes seeing to the right | 5, Trouble in both eyes seeing to the left | 6, Trouble in both eyes seeing to both sides or straight ahead | 99, Other						[sudden_loss_of_speech] = '0' and [visual_disturbances] = '0'						
sudden_vision_loss_or_blurring	medical_history_stroke		radio	7. Have you ever had any sudden loss of vision, or blurring, lasting 24 hours or longer?	1, Yes | 0, No | -991, Truly missing | -992, Not asked / Not collected | -996, Refused | -997, Truly unknown						[sudden_loss_of_speech] = '1' or [sudden_loss_of_speech] = '2' or [visual_disturbances] = '1'						
episode_came_on_suddenly	medical_history_stroke		radio	8. Did the episode come on suddenly?	1, Yes | 0, No						[sudden_vision_loss_or_blurring] = '0'						
